Renewable,LC,Main,LS,Bmode
40,6,0.200000,4,-1
40,7,1.000000,5,-1
41,0,1.000000,0,1
41,1,1.800000,1,1
41,2,2.000000,2,0
41,3,1.800000,3,-1
41,4,1.200000,4,0
41,5,2.000000,5,0
41,6,0.200000,4,-1
41,7,1.000000,5,-1
42,0,1.000000,0,1
42,1,1.800000,1,1
42,2,2.000000,2,0
42,3,1.800000,3,-1
42,4,1.200000,4,0
42,5,2.000000,5,0
42,6,0.200000,4,-1
42,7,1.000000,5,-1
43,0,1.000000,0,1
43,1,1.800000,1,1
43,2,2.000000,2,0
43,3,1.800000,3,-1
43,4,1.200000,4,0
43,5,2.000000,5,0
43,6,0.200000,4,-1
43,7,1.000000,5,-1
44,0,1.000000,0,1
44,1,1.800000,1,1
44,2,2.000000,2,0
44,3,1.800000,3,-1
44,4,1.200000,4,0
44,5,2.000000,5,0
44,6,0.200000,4,-1
44,7,1.000000,5,-1
45,0,1.000000,0,1
45,1,1.800000,1,1
45,2,2.000000,2,0
45,3,1.800000,3,-1
45,4,1.200000,4,0
45,5,2.000000,5,0
45,6,0.200000,4,-1
45,7,1.000000,5,-1
46,0,1.000000,0,1
46,1,1.800000,1,1
46,2,2.000000,2,0
46,3,1.800000,3,-1
46,4,1.200000,4,0
46,5,2.000000,5,0
46,6,0.200000,4,-1
46,7,1.000000,5,-1
47,0,1.000000,0,1
47,1,1.800000,1,1
47,2,2.000000,2,0
47,3,1.800000,3,-1
47,4,1.200000,4,0
47,5,2.000000,5,0
47,6,0.200000,4,-1
47,7,1.000000,5,-1
48,0,1.000000,0,1
48,1,1.800000,1,1
48,2,2.000000,2,0
48,3,1.800000,3,-1
48,4,1.200000,4,0
48,5,2.000000,5,0
48,6,0.200000,4,-1
48,7,1.000000,5,-1
49,0,1.000000,0,1
49,1,1.800000,1,1
49,2,2.000000,2,0
49,3,1.800000,3,-1
49,4,1.200000,4,0
49,5,2.000000,5,0
49,6,0.200000,4,-1
49,7,1.000000,5,-1
50,0,1.000000,0,1
50,1,1.800000,1,1
50,2,2.000000,2,0
50,3,1.800000,3,-1
50,4,1.200000,4,0
50,5,2.000000,5,0
50,6,0.200000,4,-1
50,7,1.000000,5,-1
51,0,1.000000,0,1
51,1,1.800000,1,1
51,2,2.000000,2,0
51,3,1.800000,3,-1
51,4,1.200000,4,0
51,5,2.000000,5,0
51,6,0.200000,4,-1
51,7,1.000000,5,-1
52,0,1.000000,0,1
52,1,1.800000,1,1
52,2,2.000000,2,0
52,3,1.800000,3,-1
52,4,1.200000,4,0
52,5,2.000000,5,0
52,6,0.200000,4,-1
52,7,1.000000,5,-1
53,0,1.000000,0,1
53,1,1.800000,1,1
53,2,2.000000,2,0
53,3,1.800000,3,-1
53,4,1.200000,4,0
53,5,2.000000,5,0
53,6,0.200000,4,-1
53,7,1.000000,5,-1
54,0,1.000000,0,1
54,1,1.800000,1,1
54,2,2.000000,2,0
54,3,1.800000,3,-1
54,4,1.200000,4,0
54,5,2.000000,5,0
54,6,0.200000,4,-1
54,7,1.000000,5,-1
55,0,1.000000,0,1
55,1,1.800000,1,1
55,2,2.000000,2,0
55,3,1.800000,3,-1
55,4,1.200000,4,0
55,5,2.000000,5,0
55,6,0.200000,4,-1
